Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration
1160617933,MNQU5,07/24/2025 08:24:10 -05:00,07/24/2025 08:30:01 -05:00,23364.250000000,23366.000000000,0.74000,3.500000000,1,Long,07/24/2025 00:00:00 -05:00,00:05:51.6630540
1160617938,MNQU5,07/24/2025 08:28:21 -05:00,07/24/2025 08:30:01 -05:00,23376.750000000,23366.000000000,0.74000,-21.500000000,1,Long,07/24/2025 00:00:00 -05:00,00:01:40.4789720
1160649967,MNQU5,07/24/2025 08:30:18 -05:00,07/24/2025 08:30:35 -05:00,23380.750000000,23390.500000000,7.40000,195.000000000,10,Long,07/24/2025 00:00:00 -05:00,00:00:17.4472340
1160710674,MNQU5,07/24/2025 08:31:57 -05:00,07/24/2025 08:32:18 -05:00,23353.000000000,23360.750000000,0.74000,-15.500000000,1,Short,07/24/2025 00:00:00 -05:00,00:00:21.0785600
1160751706,MNQU5,07/24/2025 08:32:44 -05:00,07/24/2025 08:34:37 -05:00,23346.500000000,23366.500000000,3.70000,-200.000000000,5,Short,07/24/2025 00:00:00 -05:00,00:01:53.4637340
1160881561,MNQU5,07/24/2025 08:40:48 -05:00,07/24/2025 08:41:32 -05:00,23336.750000000,23349.500000000,0.74000,-25.500000000,1,Short,07/24/2025 00:00:00 -05:00,00:00:43.9955620
1155072984,MNQU5,07/22/2025 23:45:19 -05:00,07/22/2025 23:48:43 -05:00,23247.250000000,23246.000000000,3.70000,12.500000000,5,Short,07/23/2025 00:00:00 -05:00,00:03:24.3911510
1155072986,MNQU5,07/22/2025 23:47:13 -05:00,07/22/2025 23:48:43 -05:00,23244.500000000,23246.000000000,3.70000,-15.000000000,5,Short,07/23/2025 00:00:00 -05:00,00:01:30.0305840
1161283042,MNQU5,07/24/2025 09:02:20 -05:00,07/24/2025 09:02:53 -05:00,23338.500000000,23346.250000000,0.74000,-15.500000000,1,Short,07/24/2025 00:00:00 -05:00,00:00:33.7709340
1155074530,MNQU5,07/22/2025 23:50:31 -05:00,07/22/2025 23:50:50 -05:00,23246.000000000,23248.250000000,3.70000,-22.500000000,5,Short,07/23/2025 00:00:00 -05:00,00:00:19.4251180
1155076375,MNQU5,07/22/2025 23:51:52 -05:00,07/22/2025 23:53:30 -05:00,23245.750000000,23245.000000000,7.40000,15.000000000,10,Short,07/23/2025 00:00:00 -05:00,00:01:38.4358240
1155080254,MNQU5,07/22/2025 23:59:33 -05:00,07/22/2025 23:59:42 -05:00,23248.500000000,23249.750000000,7.40000,-25.000000000,10,Short,07/23/2025 00:00:00 -05:00,00:00:09.4578220
1155080506,MNQU5,07/23/2025 00:00:00 -05:00,07/23/2025 00:00:06 -05:00,23248.250000000,23250.000000000,11.10000,-52.500000000,15,Short,07/23/2025 00:00:00 -05:00,00:00:05.8811450
1155081750,MNQU5,07/23/2025 00:01:20 -05:00,07/23/2025 00:01:26 -05:00,23251.750000000,23250.500000000,7.40000,-25.000000000,10,Long,07/23/2025 00:00:00 -05:00,00:00:06.0044680
1155083216,MNQU5,07/23/2025 00:03:44 -05:00,07/23/2025 00:04:01 -05:00,23247.000000000,23248.000000000,11.10000,-30.000000000,15,Short,07/23/2025 00:00:00 -05:00,00:00:16.3349010
1155202503,MNQU5,07/23/2025 01:57:28 -05:00,07/23/2025 02:00:10 -05:00,23267.000000000,23264.750000000,11.10000,-67.500000000,15,Long,07/23/2025 00:00:00 -05:00,00:02:42.1368450
1155202504,MNQU5,07/23/2025 01:59:14 -05:00,07/23/2025 02:00:10 -05:00,23270.000000000,23264.750000000,2.96000,-42.000000000,4,Long,07/23/2025 00:00:00 -05:00,00:00:56.4640270
1155210089,MNQU5,07/23/2025 02:02:03 -05:00,07/23/2025 02:03:44 -05:00,23263.750000000,23264.750000000,11.10000,-30.000000000,15,Short,07/23/2025 00:00:00 -05:00,00:01:41.0313800
1155210090,MNQU5,07/23/2025 02:03:19 -05:00,07/23/2025 02:03:44 -05:00,23261.250000000,23264.750000000,2.22000,-21.000000000,3,Short,07/23/2025 00:00:00 -05:00,00:00:24.7498270
1155217082,MNQU5,07/23/2025 02:05:54 -05:00,07/23/2025 02:06:32 -05:00,23272.250000000,23269.500000000,11.10000,-82.500000000,15,Long,07/23/2025 00:00:00 -05:00,00:00:38.0013260
1155230766,NQU5,07/23/2025 02:15:16 -05:00,07/23/2025 02:15:55 -05:00,23272.000000000,23271.750000000,5.60000,-10.000000000,2,Long,07/23/2025 00:00:00 -05:00,00:00:38.3660520
1155240934,NQU5,07/23/2025 02:18:38 -05:00,07/23/2025 02:22:34 -05:00,23275.500000000,23270.250000000,5.60000,-210.000000000,2,Long,07/23/2025 00:00:00 -05:00,00:03:55.8842330
1155249205,NQU5,07/23/2025 02:25:37 -05:00,07/23/2025 02:26:14 -05:00,23259.250000000,23262.000000000,5.60000,-110.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:00:36.8773740
1155255770,NQU5,07/23/2025 02:27:11 -05:00,07/23/2025 02:29:31 -05:00,23257.750000000,23258.250000000,5.60000,-20.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:02:20.5807750
1155265201,NQU5,07/23/2025 02:30:24 -05:00,07/23/2025 02:33:50 -05:00,23256.750000000,23247.250000000,5.60000,380.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:03:25.7342270
1155276939,NQU5,07/23/2025 02:41:21 -05:00,07/23/2025 02:41:31 -05:00,23248.500000000,23249.000000000,5.60000,-20.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:00:09.3699600
1155300849,NQU5,07/23/2025 03:00:39 -05:00,07/23/2025 03:00:57 -05:00,23263.000000000,23262.000000000,5.60000,-40.000000000,2,Long,07/23/2025 00:00:00 -05:00,00:00:17.4068500
1155343297,NQU5,07/23/2025 03:27:46 -05:00,07/23/2025 03:29:54 -05:00,23279.500000000,23274.500000000,5.60000,-200.000000000,2,Long,07/23/2025 00:00:00 -05:00,00:02:07.8422920
1161489515,MNQU5,07/24/2025 09:12:29 -05:00,07/24/2025 09:13:38 -05:00,23323.500000000,23302.000000000,3.70000,215.000000000,5,Short,07/24/2025 00:00:00 -05:00,00:01:08.5449560
1161489516,MNQU5,07/24/2025 09:12:30 -05:00,07/24/2025 09:13:38 -05:00,23323.500000000,23302.000000000,7.40000,430.000000000,10,Short,07/24/2025 00:00:00 -05:00,00:01:08.0988050
1155868376,GCQ5,07/23/2025 08:23:13 -05:00,07/23/2025 08:23:37 -05:00,3418.800000000,3419.600000000,3.24000,-80.000000000,1,Short,07/23/2025 00:00:00 -05:00,00:00:23.5538180
1155886149,NQU5,07/23/2025 08:25:33 -05:00,07/23/2025 08:25:53 -05:00,23257.750000000,23261.000000000,5.60000,-130.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:00:20.0314820
1155880294,NQU5,07/23/2025 08:25:09 -05:00,07/23/2025 08:25:24 -05:00,23270.000000000,23264.250000000,5.60000,-230.000000000,2,Long,07/23/2025 00:00:00 -05:00,00:00:14.0169620
1155894971,NQU5,07/23/2025 08:26:43 -05:00,07/23/2025 08:27:24 -05:00,23258.250000000,23260.250000000,5.60000,-80.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:00:40.3206390
1155945454,NQU5,07/23/2025 08:30:29 -05:00,07/23/2025 08:30:40 -05:00,23234.500000000,23230.250000000,5.60000,170.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:00:11.0238350
1155962924,NQU5,07/23/2025 08:30:59 -05:00,07/23/2025 08:31:04 -05:00,23224.250000000,23211.500000000,5.60000,510.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:00:04.6874190
1155974435,NQU5,07/23/2025 08:31:13 -05:00,07/23/2025 08:31:18 -05:00,23210.250000000,23207.000000000,5.60000,130.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:00:05.1582380
1155999148,NQU5,07/23/2025 08:31:52 -05:00,07/23/2025 08:31:59 -05:00,23201.750000000,23197.500000000,5.60000,170.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:00:06.8502470
1156021711,NQU5,07/23/2025 08:32:08 -05:00,07/23/2025 08:32:34 -05:00,23186.250000000,23194.250000000,5.60000,-320.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:00:25.3866060
1156209727,NQU5,07/23/2025 08:41:05 -05:00,07/23/2025 08:41:22 -05:00,23213.250000000,23216.000000000,5.60000,-110.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:00:17.3629250
1156256560,NQU5,07/23/2025 08:44:14 -05:00,07/23/2025 08:44:28 -05:00,23204.750000000,23206.250000000,5.60000,-60.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:00:13.6313440
1156315675,NQU5,07/23/2025 08:44:54 -05:00,07/23/2025 08:45:53 -05:00,23197.500000000,23169.000000000,2.80000,570.000000000,1,Short,07/23/2025 00:00:00 -05:00,00:00:58.9340960
1156315676,NQU5,07/23/2025 08:45:23 -05:00,07/23/2025 08:45:53 -05:00,23175.000000000,23169.000000000,2.80000,120.000000000,1,Short,07/23/2025 00:00:00 -05:00,00:00:30.2767070
1156606377,MNQU5,07/23/2025 09:00:10 -05:00,07/23/2025 09:01:11 -05:00,23158.250000000,23168.500000000,0.74000,-20.500000000,1,Short,07/23/2025 00:00:00 -05:00,00:01:00.2211650
1156686258,MNQU5,07/23/2025 09:04:55 -05:00,07/23/2025 09:06:06 -05:00,23159.000000000,23171.250000000,2.22000,-73.500000000,3,Short,07/23/2025 00:00:00 -05:00,00:01:11.2324460
1156732283,MNQU5,07/23/2025 09:08:17 -05:00,07/23/2025 09:08:40 -05:00,23156.250000000,23167.750000000,2.22000,-69.000000000,3,Short,07/23/2025 00:00:00 -05:00,00:00:22.7798320
1156850014,MNQU5,07/23/2025 09:12:13 -05:00,07/23/2025 09:15:11 -05:00,23155.250000000,23160.000000000,0.74000,-9.500000000,1,Short,07/23/2025 00:00:00 -05:00,00:02:57.9120950
1156881941,MNQU5,07/23/2025 09:16:16 -05:00,07/23/2025 09:16:39 -05:00,23172.750000000,23178.000000000,0.74000,-10.500000000,1,Short,07/23/2025 00:00:00 -05:00,00:00:22.9663490
1156890699,MNQU5,07/23/2025 09:16:48 -05:00,07/23/2025 09:16:53 -05:00,23183.250000000,23184.000000000,0.74000,1.500000000,1,Long,07/23/2025 00:00:00 -05:00,00:00:05.1914620
1156941804,MNQU5,07/23/2025 09:18:37 -05:00,07/23/2025 09:20:51 -05:00,23171.750000000,23170.750000000,0.74000,2.000000000,1,Short,07/23/2025 00:00:00 -05:00,00:02:13.6630610
1156941807,MNQU5,07/23/2025 09:19:13 -05:00,07/23/2025 09:20:51 -05:00,23169.250000000,23170.750000000,0.74000,-3.000000000,1,Short,07/23/2025 00:00:00 -05:00,00:01:37.8152810
1156941809,MNQU5,07/23/2025 09:20:34 -05:00,07/23/2025 09:20:51 -05:00,23164.000000000,23170.750000000,1.48000,-27.000000000,2,Short,07/23/2025 00:00:00 -05:00,00:00:16.9960130
1157248418,MNQU5,07/23/2025 09:44:51 -05:00,07/23/2025 09:45:35 -05:00,23173.250000000,23172.750000000,0.74000,1.000000000,1,Short,07/23/2025 00:00:00 -05:00,00:00:43.9728910
1157336629,MNQU5,07/23/2025 09:53:51 -05:00,07/23/2025 09:55:44 -05:00,23186.500000000,23195.000000000,0.74000,-17.000000000,1,Short,07/23/2025 00:00:00 -05:00,00:01:53.5534360
1157336633,MNQU5,07/23/2025 09:55:13 -05:00,07/23/2025 09:55:44 -05:00,23191.000000000,23195.000000000,0.74000,-8.000000000,1,Short,07/23/2025 00:00:00 -05:00,00:00:30.8696240
1159346645,MNQU5,07/23/2025 19:05:46 -05:00,07/23/2025 19:09:11 -05:00,23385.000000000,23386.500000000,1.48000,6.000000000,2,Long,07/24/2025 00:00:00 -05:00,00:03:25.0286410
1159346648,MNQU5,07/23/2025 19:07:09 -05:00,07/23/2025 19:09:11 -05:00,23387.000000000,23386.500000000,1.48000,-2.000000000,2,Long,07/24/2025 00:00:00 -05:00,00:02:02.4922670
1159346650,MNQU5,07/23/2025 19:07:39 -05:00,07/23/2025 19:09:11 -05:00,23389.250000000,23386.500000000,0.74000,-5.500000000,1,Long,07/24/2025 00:00:00 -05:00,00:01:31.6958710
1159346653,MNQU5,07/23/2025 19:08:36 -05:00,07/23/2025 19:09:11 -05:00,23391.000000000,23386.500000000,1.48000,-18.000000000,2,Long,07/24/2025 00:00:00 -05:00,00:00:35.4783020
1159346655,MNQU5,07/23/2025 19:08:50 -05:00,07/23/2025 19:09:11 -05:00,23389.750000000,23386.500000000,0.74000,-6.500000000,1,Long,07/24/2025 00:00:00 -05:00,00:00:21.4069140
1159363902,MNQU5,07/23/2025 19:10:18 -05:00,07/23/2025 19:17:37 -05:00,23386.500000000,23400.500000000,1.48000,56.000000000,2,Long,07/24/2025 00:00:00 -05:00,00:07:19.0448410
1159363903,MNQU5,07/23/2025 19:10:39 -05:00,07/23/2025 19:17:37 -05:00,23388.750000000,23400.500000000,2.22000,70.500000000,3,Long,07/24/2025 00:00:00 -05:00,00:06:57.8976090
1159363904,MNQU5,07/23/2025 19:11:20 -05:00,07/23/2025 19:17:37 -05:00,23390.250000000,23400.500000000,2.96000,82.000000000,4,Long,07/24/2025 00:00:00 -05:00,00:06:16.9951610
1159363905,MNQU5,07/23/2025 19:12:22 -05:00,07/23/2025 19:17:37 -05:00,23394.500000000,23400.500000000,0.74000,12.000000000,1,Long,07/24/2025 00:00:00 -05:00,00:05:14.4658370
1159363906,MNQU5,07/23/2025 19:12:29 -05:00,07/23/2025 19:17:37 -05:00,23395.750000000,23400.500000000,1.48000,19.000000000,2,Long,07/24/2025 00:00:00 -05:00,00:05:07.9049370
1159363907,MNQU5,07/23/2025 19:14:42 -05:00,07/23/2025 19:17:37 -05:00,23397.000000000,23400.500000000,1.48000,14.000000000,2,Long,07/24/2025 00:00:00 -05:00,00:02:55.1010860
1159382094,MNQU5,07/23/2025 19:32:41 -05:00,07/23/2025 19:34:26 -05:00,23398.500000000,23400.750000000,0.74000,-4.500000000,1,Short,07/24/2025 00:00:00 -05:00,00:01:45.7249640
1159382097,MNQU5,07/23/2025 19:32:51 -05:00,07/23/2025 19:34:26 -05:00,23398.500000000,23400.750000000,1.48000,-9.000000000,2,Short,07/24/2025 00:00:00 -05:00,00:01:35.3955910
1159382099,MNQU5,07/23/2025 19:33:41 -05:00,07/23/2025 19:34:26 -05:00,23398.000000000,23400.750000000,0.74000,-5.500000000,1,Short,07/24/2025 00:00:00 -05:00,00:00:45.3159470
